album	artist	genre	release_date	critic	score	body
Rising Down	The Roots	Rap	2008-04-29 00:00:00	Drowned In Sound	80.0	It might not be their best-ever album--Phrenology can still claim that title--but Rising Down finds The Roots reinvigorated, more passionate than ever.
Actor	St. Vincent	Indie	2009-05-05 00:00:00	Paste Magazine	81.0	Here, Clark’s lyrics are less overtly clever than on her debut, and they’re more deeply buried in layers of her spastic instrumentation. Nonetheless, they suggest a subtle, abstract intelligence.
Distortion	Magnetic Fields	Indie	2008-01-15 00:00:00	New Musical Express (NME)	79.0	Distortion is above cynical reproach--effortlessly modern and definitively 2008, yet flitting with the ghosts of Shields, Madder Rose (ask your 90s alt.indie expert uncle) and The Jesus And Mary Chain.
IRM	Charlotte Gainsbourg	Rock	2010-01-26 00:00:00	Slant Magazine	80.0	As a pairing between two artists, the album works, though not nearly as much as it could have if both were at the top of their game.
Devil's Music	Teddybears	Pop/Rock	2011-07-05 00:00:00	Tiny Mix Tapes	62.0	It isn't life music, unless you live in a camp permutation of Gold's Gym. The Air-like, Gary Numan-lite instrumentals popping up between the songs with hit potential are way lighter than air. I don't mind 'em, but also don't love 'em.
The Meadowlands	The Wrens	Indie	2003-09-09 00:00:00	Stylus Magazine	85.0	With about twenty killer lines or couplets per song, unexpected hooks coming from everywhere and one of the most ingenious track sequences of the year, it’s not really so hard to imagine what The Wrens have been doing all this time.
Magna Carta Holy Grail	Jay-Z	Rap	2013-07-04 00:00:00	DIY Magazine	60.0	Jay-Z’s latest does little to prove that he can come up with anything that isn’t entirely predictable.
Romance Is Boring	Los Campesinos!	Indie	2010-01-26 00:00:00	The Boston Phoenix	75.0	Romance Is Boring doesn't eschew the sugar-high, too-clever angst of its predecessors altogether, but the band have learned how to vary their song structures, often opting for a darker, more atmospheric aesthetic.
Vermont	Vermont	Electronic	2014-03-18 00:00:00	Uncut	78.0	Vermont find unexpected warmth in the almost mathematical precision of these restrained but seductive instrumentals. [Apr 2014, p.83]
Enough Thunder [EP]	James Blake	Electronic	2011-10-18 00:00:00	Paste Magazine	64.0	There are flashes of the brilliance that made the youngster such a trendy buzzname, but it's hard work wading through the awkward muck.
Moonlight	Hanni El Khatib	Pop/Rock	2015-01-20 00:00:00	Clash Music	70.0	A curious oddity, Moonlight indicates that there’s far more to Hanni El Khatib than meets the eye.
Punching Bag	Josh Turner	Country	2012-06-12 00:00:00	The New York Times	59.0	His records over the last nine years, including the new Punching Bag, slide too easily into benign corniness.
Europe	Allo Darlin'	Pop/Rock	2012-05-01 00:00:00	AllMusic	82.0	As it stands, Allo Darlin' are as serious as it gets, and despite the lightness and sweetness, they are sophisticated pop music at its finest.
Stereo Typical	Rizzle Kicks	Rap	2011-11-01 00:00:00	The Guardian	70.0	Ska, country and 80s hip-hop are the cute soundbed for quickfire lyrics that reveal them to be typical teenage boys.
Our Love	Caribou	Electronic	2014-10-07 00:00:00	Drowned In Sound	84.0	Our Love lacks the element of surprise that Swim had, but still holds in abundance all the hallmarks of a master: so rich, so textured and despite being predominantly electronic, so human--speaking with painful honesty to a condition that ranks just below death and taxes in uniting us all.
Owl John	Owl John	Pop/Rock	2014-08-04 00:00:00	Drowned In Sound	76.0	Despite being released in weather incongruous to its content, there's so much heart to this record that it simply demands to be absorbed.
The Revolution Starts Now	Steve Earle	Rock	2004-08-24 00:00:00	RichardH	74.0	"The title track alone is worth having the disc- fiery, rocking, motivating. To Kyle C., a vast majority of great artists have always beenThe title track alone is worth having the disc- fiery, rocking, motivating. To Kyle C., a vast majority of great artists have always been politically inclined, and generally to the left. Tell you anything? Also, I think you meant ""p*ssed [you] off to no END""-not extent. Learn your grammar from W.?&hellip;Full Review &raquo;"
Unpatterns	Simian Mobile Disco	Electronic	2012-05-29 00:00:00	PopMatters	69.0	Unpatterns is long on proficiency, but short on pathos, and not particularly innovative, either.
Breaks in the Armor	Crooked Fingers	Pop/Rock	2011-10-11 00:00:00	Under The Radar	80.0	If it breaks no significant new creative ground, this set serves to offer possibly the best examples to date of Bachmann's strengths as a songwriter and as a compelling singer.
Educated Guess	Ani DiFranco	Rock	2004-01-20 00:00:00	PopMatters	67.0	Educated Guess explores new musical territory that is challenging enough to engage even the most folk-averse listeners while it maintains a unity of tone which yields a highly listenable work.
Cut the World [Live]	Antony and the Johnsons	Pop/Rock	2012-08-07 00:00:00	Drowned In Sound	82.0	Maybe some of the subtlety of the original is lost in the symphonic throb of this new arrangement but it's still a stunning, gleaming celebration of endurance and life even in the midst of bruises and hurt.
Journal For Plague Lovers	Manic Street Preachers	Rock	2009-09-15 00:00:00	DavidRCD	85.0	Well... where do I start? The 9th album by the Manics is 14 songs of rock heaven, in my opinion there best album to date with Send away theWell... where do I start? The 9th album by the Manics is 14 songs of rock heaven, in my opinion there best album to date with Send away the tigers in 2nd and everything must go in 3rd. The reason for this is that every song seems to have so much efffort into them, each song has great music, great singing from JDB and of course great lyrics from Richey Edwards. The Holy Bible has great lyrics from Richey Edwards but the music doesnt support them but this type the music does. ITS BRILLIANT.&hellip;Full Review &raquo;
Luna	The Aliens	Rock	2008-09-29 00:00:00	Uncut	65.0	"When ever Gordon Anderson admits to being ""lost inside the chasms of my mind,"" therre seems little hope for the rest of us. [Nov 2008, p.87]"
Amnesiac	Radiohead	Rock	2001-06-05 00:00:00	New Musical Express (NME)	75.0	Despite Thom Yorke's assertions that 'Amnesiac' stands alone, it complements 'Kid A' so beautifully, develops it with such conviction, that the idea Radiohead ever cut themselves off to spite their fans suddenly seems irredeemably churlish.
Insignificance	Jim O'Rourke	Indie	2001-11-20 00:00:00	Nude As The News	81.0	Insignificance&#146;s length of less than 40 minutes perhaps indicates that O&#146;Rourke is not as serious about producing a pop opus as he is interested in getting a kick out of screwing around with pop song writing.
Lost Riots	Hope Of The States	Rock	2004-10-05 00:00:00	Under The Radar	69.0	This is emotional anarchy at its prime--urgent, passionate and honest. [#7]
White Pepper	Ween	Indie	2000-05-02 00:00:00	mpshea28	66.0	I like this album, but it's a bit on the weak side for them. I like The Mollusk, Quebec, chocolate and cheese, and even La Cucaracha betterI like this album, but it's a bit on the weak side for them. I like The Mollusk, Quebec, chocolate and cheese, and even La Cucaracha better than this. With that said there is a few gems here. Bananas and Blow, Pandy Fackler, Falling Out, Flutes of chi are all awesome.....stay forever sucks.&hellip;Full Review &raquo;
This Is It & I Am It & You Are It & So Is That & He Is It & She Is It & It Is It & That Is That	Marnie Stern	Indie	2008-10-07 00:00:00	Blender	82.0	Her music is exhilarating, enigma-packed and, despite the unceasing noise barrage, winningly sweet.
Scott Pilgrim Vs. The World	Original Soundtrack	Rock	2010-08-10 00:00:00	Chicago Tribune	68.0	"Like the similarly star-studded (but bland) ""Twilight"" and (insufferably twee) ""Juno"" soundtracks, Scott Pilgrim is something less than the sum of its parts."
Volume 1	Echoboy	Indie	2000-05-09 00:00:00	Splendid	76.0	This is a record in which Warren has fused elements of dance, rock, trance and folk to create exquisite pieces of crystalline future-leaning pop.
Spanish Moss & Total Loss	Shout Out Out Out Out	Electronic	2012-07-17 00:00:00	The A.V. Club	65.0	While much of Spanish Moss And Total Loss is unexpected, it sacrifices too much in the name of surprise.
The Final Frontier	Iron Maiden	Pop/Rock	2010-08-17 00:00:00	Dog-owar	71.0	"Can't stop listening to this album!   Its something a little different from most maiden albums, but still great, i especially like ""when theCan't stop listening to this album!   Its something a little different from most maiden albums, but still great, i especially like ""when the wild wind blows"" and ""mother of mercy"".&hellip;Full Review &raquo;"
Tonight: Franz Ferdinand	Franz Ferdinand	Indie	2009-01-27 00:00:00	Sputnikmusic	70.0	It will be bettered, as surely as night follows day, but there might not be another album released in the next 12 months that offers the same delirious, sugar-coated enjoyment, let alone one that matches it with Kapranos' casually whip-smart lyrics.
Descended Like Vultures	Rogue Wave	Indie	2005-10-25 00:00:00	Paste Magazine	72.0	For all its efforts to dazzle, Rogue Wave's music rarely engages the emotions the way it ought to. [Dec 2005, p.124]
In A Perfect World...	Keri Hilson	R&B;	2009-03-24 00:00:00	souzayan	65.0	This is my favorite contemporary R&B; album. This is R&B; mixed with other genres. There's R&B; with Hip-Hop (Turnin' me on), there's R&B; withThis is my favorite contemporary R&B; album. This is R&B; mixed with other genres. There's R&B; with Hip-Hop (Turnin' me on), there's R&B; with Pop (Return the favor) and more. Hilson's voice is great (listen to Make Love), and she chosen the right featurings and placed them perfectly. The album is original, there isn't knock-off's on it.&hellip;Full Review &raquo;
Made of Bricks	Kate Nash	Rock	2008-01-08 00:00:00	Drowned In Sound	71.0	Essentially, Made Of Bricks is comprised of a lot of below-par b-sides, three pretty special tracks and then bunch of 'nice tries'...but don't expect anyone to be whistling them in three months' time.
Peter Gabriel Tribute Album: And I'll Scratch Yours	Various Artists	Pop/Rock	2014-01-07 00:00:00	Clash Music	63.0	The result is a slightly odd, somewhat disjointed response, and one that serves to highlight just how daunting it is to tackle a cover from the former Genesis frontman’s catalogue.
Now Soon Someday [EP]	Beans	Indie	2004-03-02 00:00:00	Urb	81.0	Beans emerge[s] as the underground's answer to Pharrell Williams, insanely stylish and armed with beats and rhymes to spare. [Feb 2004, p.78]
Employment	Kaiser Chiefs	Indie	2005-03-15 00:00:00	Alternative Press	78.0	Kaiser Chiefs melt their influences into something entirely non-derivative--and thoroughly fun. [May 2005, p.172]
B4.DA.$$	Joey Bada$$	Rap	2015-01-20 00:00:00	Slant Magazine	74.0	Bada$$ may not have Lamar's gift for lyricism or narrative, but his work is impressively composed for such a young voice, stringing together intricate series of metaphors over crisp, non-intrusive old-school beats.
Inches	Les Savy Fav	Indie	2004-04-20 00:00:00	Drowned In Sound	84.0	Defeatist it may be, but such genius is very rarely recognised in a band&#146;s lifetime. So be it &#150; because there genuinely is no verbal persuasion that could exceed a single listen to America&#146;s most underrated.
Under And Under	Blank Dogs	Indie	2009-05-26 00:00:00	PopMatters	71.0	Under and Under is more often than not a good trick, catchy and insistent, but a nagging question remains: Is Sniper saying anything? Literally, of course, he is, but it’s nearly impossible to decipher.
Sleeper	Carmen Villain	Pop/Rock	2013-03-12 00:00:00	AllMusic	78.0	An exciting debut, Sleeper is a rawer, deeper album than might have been expected, full of music that's more daring and more rewarding than the work of many artists without the baggage attached to Villain's background.
Long Gone Before Daylight	The Cardigans	Rock	2004-05-25 00:00:00	Mojo	65.0	Deep, mournful, impressive. [Apr 2004, p.99]
Cut the World [Live]	Antony and the Johnsons	Pop/Rock	2012-08-07 00:00:00	The Fly (UK)	82.0	Whilst Hegarty's extended speech in 'Future Feminism' fails to grasp wholly, (but will probably fill a void in your pseudo-intellectual appetite), the collection as a whole is an impressively captivating soundscape.
The  Keychain Collection	Gang Colours	Electronic	2012-02-27 00:00:00	Clash Music	71.0	It's a win for the bedroom door-locking crew.
Molina And Johnson	Molina And Johnson	Indie	2009-11-03 00:00:00	Dusted Magazine	75.0	The third of the record that’s truly Molina & Johnson shines the brightest, when their discreet identities fall away to create Burroughs’ and Gysin’s third mind.
